Title,Company,experience,Estimated_salary,location,Industry_type,job_type,key_skills
Senior Analyst - Data Science,Tiger Analytics India LLP,1 - 6 years,Not Disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",IT Services & Consulting,"Full Time, Permanent",Data ScienceRArtificial IntelligenceData AnalyticsMachine LearningPython
Senior Analyst - Data Science - Iit/nit/iim/xlri/fms,Huquo Consulting Pvt. Ltd,2 - 5 years,Not Disclosed,Gurgaon/Gurugram,IT Services & Consulting,"Full Time, Permanent",Data ScienceSASTableauQlikMachine LearningStatisticsR ShinyAnalyticsPythonSQL
Data Analyst - Data Science & Analytics,TransUnion Software Services Pvt. Ltd,3 - 6 years,Not Disclosed,Chennai,IT Services & Consulting,"Full Time, Permanent",Computer scienceLogistic regressionData analysisOperations researchAnalyticalConsultingBusiness intelligenceFinancial servicesSQLData extraction
Data Science Analyst ,Continuum Global Solutions,3 - 8 years,Not Disclosed,Indore,BPO / Call Centre,"Full Time, Permanent",Data ScienceRBusiness AnalyticsBuilding Statistical ModelsComputer ScienceData ManagementMachine LearningStatistical AnalysisPythonSql
Analyst Manufacturing Data Analytics (Machine Learning & Data Science),Kennametal Inc,4 - 6 years,Not Disclosed,Bangalore/Bengaluru,Industrial Equipment / Machinery,"Full Time, Permanent",Anomaly DetectionData ScienceRAzureData WarehousingData AnalyticsMachine LearningPythonSQL
"Senior Analyst, Data Science & Analytics",TransUnion Software Services Pvt. Ltd,5 - 8 years,Not Disclosed,Pune,IT Services & Consulting,"Full Time, Permanent",AnalystC++Operations researchAnalyticalConsultingRisk managementBusiness intelligenceMacrosFinancial servicesSQL
"Senior Analyst, Data Science & Analytics",TransUnion Software Services Pvt. Ltd,5 - 8 years,Not Disclosed,Pune,IT Services & Consulting,"Full Time, Permanent",Operations researchAutomationLinuxAnalyticalConsultingBusiness intelligenceMacrosPortfolio managementFinancial servicesSQL
Analyst - Data Science,Nuware  Systems Pvt Ltd,3 - 6 years,Not Disclosed,Bengaluru,IT Services & Consulting,"Full Time, Permanent",Data analysisRDBMSBfsiApplication programmingMachine learningInvestment bankingData miningMacrosSQLPython
Data Science Analyst 2,Epsilon,2 - 5 years,Not Disclosed,Bangalore/Bengaluru,IT Services & Consulting,"Full Time, Permanent",Data analysisFactor analysisdata scienceAnalyticalMachine learningRisk managementData miningBusiness caseAnalyticsMonitoring
Analyst - Data Science,Grail Insights,2 - 7 years,Not Disclosed,Noida,Management Consulting,"Full Time, Permanent",Data ScienceData VisualizationTableauStatisticsPythonSql
Senior Data Science Analyst,OTIS,1 - 3 years,Not Disclosed,Bangalore/Bengaluru,Financial Services,"Full Time, Permanent",TrainingAnalystSalesdata scienceMachine learningMarketing operationsIndividual ContributorForecastingStatistics
Analyst (Data Science),Bloom Consulting Services,3 - 8 years,Not Disclosed,Bengaluru,Recruitment / Staffing,"Full Time, Permanent",githubVersion controldata scienceSQL databaseAgile developmentcontrol testingConsultingMachine learningCRMPython
Data Science Analyst -Forecasting,Pattern,3 - 6 years,Not Disclosed,Pune,IT Services & Consulting,"Full Time, Permanent",Computer scienceComputer languagesdata scienceInfrastructureGeneticsOracleAdobeSQLLogisticsPython
data science analyst,CRED,1 - 3 years,Not Disclosed,Bangalore/Bengaluru,IT Services & Consulting,"Full Time, Permanent",Analytical skillsHealth insurancedata scienceData qualityData miningbig dataOperationsMonitoringSQLPython
Analyst - Data Science,Merkle Inc.,1 - 6 years,Not Disclosed,Pune,IT Services & Consulting,"Full Time, Permanent",Data validationSASTechnology solutionsTroubleshootingAdobeDigital marketingComparative analysisAnalyticsMonitoringPython
Analyst Data Science and Analytics,TransUnion Software Services Pvt. Ltd,4 - 7 years,Not Disclosed,Pune,IT Services & Consulting,"Full Time, Permanent",C++Operations researchAnalyticalConsultingRisk managementBusiness intelligenceMacrosFinancial servicesSQLData extraction
Lead Data Science Analyst - Python/Spark,Huquo Consulting Pvt. Ltd,6 - 10 years,Not Disclosed,Gurgaon/Gurugram,IT Services & Consulting,"Full Time, Permanent",Data ScienceNLPData ScientistData ManagementNeural NetworksSparkDeep LearningPython
Business Analyst  Data Science & Analytics,Orcapod Consulting Services Private Limited  ,2 - 6 years,Not Disclosed,"Noida, Gurgaon/Gurugram, Delhi / NCR",IT Services & Consulting,"Full Time, Permanent",Predictive ModelingAzure cloudRAlgorithmsCampaign AnalyticsStatistical ModelingTime SeriesMachine LearningStatistical AnalysisPredictive AnalyticsBusiness AnalysisPython
Business Analyst - Data Science,Huquo Consulting Pvt. Ltd,4 - 6 years,Not Disclosed,Gurgaon/Gurugram,IT Services & Consulting,"Full Time, Permanent",Gap AnalysisData ScienceBrdFSDRequirement GatheringUser StoriesFlow ChartsInsurance OperationsBusiness Analysis
Business Analyst - Data Science,Huquo Consulting Pvt. Ltd,4 - 6 years,Not Disclosed,Gurgaon/Gurugram,IT Services & Consulting,"Full Time, Permanent",Data ScienceSystems Gap AnalysisPRDBusiness AnalystProject ManagementWire framing  BRDMVP  FSD 
Business Analyst - Data Science,Huquo Consulting Pvt. Ltd,4 - 6 years,Not Disclosed,Gurgaon/Gurugram,IT Services & Consulting,"Full Time, Permanent",Data ScienceBusiness AnalystProject Management
Pricing Analyst & Data Science,"India Medtronic Pvt. Ltd,.",5 - 10 years,"₹ 20,00,000 - 35,00,000 P.A. ","Gurgaon/Gurugram, Bangalore/Bengaluru, Mumbai (All Areas)",Medical Services / Hospital,"Full Time, Permanent",Data SciencePower BiPricing Analytics
Lead - IT Data Science Analyst,Momentive Performance Materials Inc.,4 - 8 years,Not Disclosed,Bangalore/Bengaluru,Engineering & Construction,"Full Time, Permanent",AnalystAutomationdata scienceData modelingMySQLArchitectural designContinuous improvementProject executionSystem administrationPython
Data Scientist/Quantitative Analyst,Antier Solutions,3 - 5 years,Not Disclosed,Chandigarh,IT Services & Consulting,"Full Time, Permanent",Data SciencePredictive ModelingPytorchSASData ScientistData ManagementKerasData AnalyticsAnalyticsPythonSQL
Urgent Openings For Data Analysts.,Flipkart Internet Private Limited,1 - 6 years,"₹ 3,00,000 - 6,00,000 P.A. ",Bangalore/Bengaluru( Devarabeesana Halli ),Internet,"Full Time, Permanent",Data AnalystData Analysis
Customer Success Sr . Data Analyst,Github,2 - 5 years,Not Disclosed,remote,IT Services & Consulting,"Full Time, Permanent",Data ScienceHiveRestProject ManagementData ManagementProblem SolvingData AnalystData AnalyticsProfessional ServicesSql
Tableau / Power BI / Python Data Science - MIS BI Executive / Analyst,GABA Consultancy services ,0 - 5 years,"₹ 2,25,000 - 4,50,000 P.A. ","Noida, Gurgaon/Gurugram, Delhi / NCR",Analytics / KPO / Research,"Full Time, Permanent",Sales AnalysisLogistic RegressionBusiness AnalyticsBankingBig DataReportingStatisticsData SciencefresherSalesPredictiveData AnalysisData VisualizationData AnalyticsPredictive AnalyticsCluster Analysis
Power BI / Tableau / Python Data Science - MIS BI Executive / Analyst,GABA Consultancy services ,0 - 5 years,"₹ 2,25,000 - 4,50,000 P.A. ","Noida, New Delhi, Gurgaon/Gurugram",Analytics / KPO / Research,"Full Time, Permanent",Sales AnalysisLogistic RegressionBusiness AnalyticsBankingBig DataReportingStatisticsData SciencefresherSalesPredictiveData AnalysisData VisualizationData AnalyticsPredictive AnalyticsCluster Analysis
Technical Data Analyst,"Vyrian, Inc",5 - 10 years,Not Disclosed,Indore,Industrial Equipment / Machinery,"Full Time, Permanent",Data ScienceRFinanceAdvanced AnalyticsData AnalysisStatistical ModelingData AnalystSqlPythonPredictive Analytics
Data Analyst,Klub,1 - 4 years,Not Disclosed,Bangalore/Bengaluru,Financial Services,"Full Time, Permanent",Data ScienceSasDatabase Design DevelopmentBusiness Data AnalystEtl FrameworksData MiningProcess ImprovementData CollectionBusiness ObjectsData Analytics
RWE Scientific Data Analyst II,Novartis Healthcare Pvt. Ltd.,2 - 7 years,Not Disclosed,Hyderabad/Secunderabad,Pharmaceutical & Life Sciences,"Full Time, Permanent",Data ScienceR / ShinyData ManagementBig DataData MiningStatistical ProgrammingMachine LearningSql QueriesDeep LearningPython
Data Scientist / Quantitative Analyst,Antier Solutions,3 - 5 years,Not Disclosed,"Mohali, Chandigarh, Punjab",IT Services & Consulting,"Full Time, Permanent",Data SciencePredictive ModelingRSASData ManagementData AnalyticsPythonSQL
Data Scientist/Quantitative Analyst,Antier Solutions,3 - 5 years,Not Disclosed,"Mohali, Chandigarh",IT Services & Consulting,"Full Time, Permanent",Data SciencePredictive ModelingSASData ScientistData ManagementData AnalyticsStatisticsAnalyticsPythonSQL
Data Analyst - Biotechnology / Bioscience,Perfect Digital Media Resources Pvt Ltd,1 - 5 years,Not Disclosed,Chennai( Kilpauk ),Printing & Publishing,"Full Time, Permanent",e-publishingdata analyst
Data Analyst - Quant & Data Mining,Catalyst,2 - 6 years,Not Disclosed,Bangalore/Bengaluru,IT Services & Consulting,"Full Time, Permanent",Data ScienceDashboard DesignData MiningData VisualizationData AnalystData AnalyticsQuant
Principal RWE Scientific Data Analyst,Novartis Healthcare Pvt. Ltd.,8 - 13 years,Not Disclosed,Hyderabad/Secunderabad,Pharmaceutical & Life Sciences,"Full Time, Permanent",Data ScienceHiveRData ScientistData MiningStatistical ProgrammingMachine LearningSql QueriesDeep LearningPython
Web Data Analyst,Della Adventure  Resorts Private Limited,2 - 7 years,Not Disclosed,Mumbai (All Areas),Miscellaneous,"Full Time, Permanent",Problem SolvingData AnalysisWeb Analytics
Fresher / Data Scientist / Data Analyst / Power BI / Big Data/ python,Amar Technolabs Private Limited,0 - 5 years,Not Disclosed,Ahmedabad,IT Services & Consulting,"Full Time, Permanent",BdePower BiData MiningAdvanced ExcelJSONData SciencefresherRFront EndXML ReportsJavascriptData ScrapinghtmlCore PHPPythonAjaxJavaC++Software TestingBig DataOracle WorkflowMS OfficeSQLit fresherData AnalysisPLSQLData AnalyticsOracle Reports
Data Visualization / BI Analyst - Power BI,Lenskart.com,5 years,Not Disclosed,Faridabad,Internet,"Full Time, Permanent",Data SciencePower BiData AnalysisData VisualizationE - CommerceData AnalyticsMarketing AnalyticsSupply ChainPythonSql
Product Data Analyst,Trifacta,2 - 5 years,Not Disclosed,Bangalore/Bengaluru,IT Services & Consulting,"Full Time, Permanent",Data ScienceProduct ManagementJobsFinanceMedicalData AnalyticsMachine LearningRecruitment
Data Visualization / BI Analyst - Power BI,Lenskart.com,5 - 6 years,Not Disclosed,Faridabad,Internet,"Full Time, Permanent",Data SciencePower BiData AnalysisData VisualizationE - CommerceData AnalyticsMarketing AnalyticsSupply ChainSqlPython
Data Analyst,CoinSwitch.co,4 - 9 years,Not Disclosed,Bangalore/Bengaluru,Banking,"Full Time, Permanent",Data ScienceGoogle AnalyticsData ManagementData AnalystTableauData WarehousingEtlPythonSql
Senior Data Analyst,BMTG Advisors India Private Limited ,5 - 10 years,Not Disclosed,Gurgaon/Gurugram,Banking,"Full Time, Permanent",Data ScienceExcelData AnalysisStatistical ModelingData MiningData VisualizationTableauData AnalyticsData ReportingSQL
Scientific Research Data Analyst - R&D,AVE-Promagne ,4 - 8 years,Not Disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",IT Services & Consulting,"Full Time, Permanent",ScipyC++Data WranglingAIMachine Learningneural networkScikit-LearnNumpyData Sciencepandasdeep learningRAlgorithmsLinear AlgebraPython
Business Data Analyst,AMPLIFY ANALYTIX INDIA PRIVATE LIMITED ,3 - 5 years,Not Disclosed,Bengaluru,Management Consulting,"Full Time, Permanent",tableauPDFdata scienceBusiness Data AnalystAnalyticalStatistical softwareSPSSinternational clientsAnalyticsPython
Sr Data Analyst 1,IHS Markit,3 - 6 years,Not Disclosed,Bangalore/Bengaluru,IT Services & Consulting,"Full Time, Permanent",Computer scienceCloud computingdata scienceAnalyticalConsultingMachine learningData collectionData qualitySQLPython
Data Scientists/Marketing Analytics/Data analytical/Data analyst,HY FLY CONSULTANCY,2 - 7 years,"₹ 10,00,000 - 18,00,000 P.A. ","Mumbai, Thane, Navi Mumbai",Banking,"Full Time, Permanent",Quality checksData MiningData ExtractionSQL Queriesextracted databaseSQL DBABase SASEG SPSS Rrolled-up databaseData Scienceanalytical softwareData AnalyticsAngossStrong mastery of Microsoft Office toolsSas E-MinerPython
Quality Analyst / Data Engineer / Associate Analytics - MNC Jobs,GABA Consultancy services ,0 - 5 years,"₹ 2,25,000 - 4,75,000 P.A. ","Noida, Gurgaon/Gurugram, Delhi / NCR",BPO / Call Centre,"Full Time, Permanent",O2Cfresher data analystPower BiBankingData ManagementTableauMarketing Analyticsgraduate fresherfresher reporting analystAnalyticsSQLBusiness AnalysisData SciencefresherExcelR2RVBAMISPython
Data Analyst / Data Scientist / Business Analytics / Fresher / MNC OSC,GABA Consultancy services ,0 years,"₹ 2,25,000 - 4,75,000 P.A. ","Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",Analytics / KPO / Research,"Full Time, Permanent",O2Cfresher data analystPower BiBankingData ManagementTableauMarketing Analyticsgraduate fresherfresher reporting analystAnalyticsSQLBusiness AnalysisData SciencefresherExcelR2RVBAMISPython
Data Scientist / Data Analyst / Business Analytics - MNC Jobs Freshers,GABA Consultancy services ,0 years,"₹ 2,25,000 - 4,75,000 P.A. ","Ghaziabad, Faridabad, Delhi / NCR",Analytics / KPO / Research,"Full Time, Permanent",O2Cfresher data analystPower BiBankingData ManagementTableauMarketing Analyticsgraduate fresherfresher reporting analystAnalyticsSQLBusiness AnalysisData SciencefresherExcelR2RVBAMISPython
Only Fresher / Data Scientist /  Data Analyst / Analytics - MNC OSC,GABA Consultancy services ,0 years,"₹ 2,25,000 - 4,75,000 P.A. ","Kolkata, Pune, Mumbai (All Areas)",Analytics / KPO / Research,"Full Time, Permanent",O2Cfresher data analystPower BiBankingData ManagementTableauMarketing Analyticsgraduate fresherfresher reporting analystAnalyticsSQLBusiness AnalysisData SciencefresherExcelR2RVBAMISPython
Data Engineer / Quality Analyst / Healthcare Associate Analytics - MNC,GABA Consultancy services ,0 - 5 years,"₹ 2,25,000 - 4,75,000 P.A. ","Noida, New Delhi, Faridabad",Analytics / KPO / Research,"Full Time, Permanent",O2Cfresher data analystPower BiBankingData ManagementTableauMarketing Analyticsgraduate fresherfresher reporting analystAnalyticsSQLBusiness AnalysisData SciencefresherExcelR2RVBAMISPython
Data Analyst,Continuum Global,2 - 4 years,Not Disclosed,Gurgaon/Gurugram,Advertising & Marketing,"Full Time, Permanent",Data SciencePredictive ModelingData ScientistHadoopBig DataData AnalystTableauSparkPythonSql
Only Fresher / Data Scientist /  Data Analyst / Analytics - MNC OSC,GABA Consultancy services ,0 years,"₹ 2,25,000 - 4,75,000 P.A. ","Indore, Nagpur, Jaipur",Analytics / KPO / Research,"Full Time, Permanent",O2Cfresher data analystPower BiBankingData ManagementTableauMarketing Analyticsgraduate fresherfresher reporting analystAnalyticsSQLBusiness AnalysisData SciencefresherExcelR2RVBAMISPython
Only Fresher / Data Scientist /  Data Analyst / Analytics - MNC Jobs,GABA Consultancy services ,0 years,"₹ 2,25,000 - 4,75,000 P.A. ","Noida, Gurgaon/Gurugram, Delhi / NCR",Analytics / KPO / Research,"Full Time, Permanent",O2Cfresher data analystPower BiBankingData ManagementTableauMarketing Analyticsgraduate fresherfresher reporting analystAnalyticsSQLBusiness AnalysisData SciencefresherExcelR2RVBAMISPython
Only Fresher / Data Scientist /  Data Analyst / Analytics - MNC OSC,GABA Consultancy services ,0 years,"₹ 2,25,000 - 4,75,000 P.A. ","Indore, Patna, Lucknow",Analytics / KPO / Research,"Full Time, Permanent",O2Cfresher data analystPower BiBankingData ManagementTableauMarketing Analyticsgraduate fresherfresher reporting analystAnalyticsSQLBusiness AnalysisData SciencefresherExcelR2RVBAMISPython
Senior Data Analyst,Viamo Inc,3 - 6 years,Not Disclosed,Remote,IT Services & Consulting,"Full Time, Permanent",Data ScienceProduct DevelopmentProduct ManagementData StructuresData ScientistData AnalysisTableauMachine LearningData GovernanceSql
Lead Data Analyst,Bidgely Technologies Private Limited,5 - 10 years,Not Disclosed,"United States (USA), Bangalore/Bengaluru",Analytics / KPO / Research,"Full Time, Permanent",Data ScienceProject ManagementComputer ScienceData AnalystAb TestingMachine LearningStatisticsAnalyticsLeadership SkillsSql
Data Analyst,6Sense,1 - 4 years,Not Disclosed,Bengaluru,IT Services & Consulting,"Full Time, Permanent",SANData analysisdata scienceVenture capitalData processingData qualityData AnalystQlikViewSQLSalesforce
Data Insight Analyst,Capco Technologies Pvt Ltd,3 - 6 years,Not Disclosed,Bangalore/Bengaluru,Banking,"Full Time, Permanent",Data ScienceBusiness IntelligenceRFinanceData AnalysisData AnalystData GovernanceAnalyticsSqlPython
Senior Data Analyst,UrbanClap,2 - 4 years,Not Disclosed,"Gurgaon/Gurugram, Bangalore/Bengaluru",IT Services & Consulting,"Full Time, Permanent",Logistic regressionadvanced analyticsdata scienceSchemaMachine learningData AnalystBusiness intelligenceData warehousingSQLPython
Data Analyst,Extramarks  Education India Pvt Ltd,3 - 5 years,"₹ 5,00,000 - 10,00,000 P.A. ",Noida,Education / Training,"Full Time, Permanent",TableauETLPython
ETL Developer - Data and Reporting Analyst,TeamPlus Staffing Solution Pvt Ltd,3 - 5 years,Not Disclosed,Bangalore/Bengaluru,Recruitment / Staffing,"Full Time, Permanent",Data analysisPrototypedata scienceMachine learningScrumSSISBusiness intelligencemicrosoftAnalyticsSQL
Data Analyst,OneMagnify,3 - 5 years,Not Disclosed,Chennai,Analytics / KPO / Research,"Full Time, Permanent",Basicdata scienceMachine learningProgrammingpower biData AnalystQlikViewIndividual ContributorSupervisionPython
Data Analyst,FedEx Express,2 - 6 years,"₹ 8,00,000 - 14,00,000 P.A. ","Gurgaon/Gurugram, Bangalore/Bengaluru, Mumbai (All Areas)",Courier / Logistics,"Full Time, Permanent",Data AnalysisAnalytics
Data Analyst,BrickRed Systems,1 - 4 years,Not Disclosed,Remote,IT Services & Consulting,"Full Time, Permanent",Data ScienceLanguage SkillsSpoken EnglishTypingWriting SkillsWritten CommunicationComputerData AnalystUhrsPart Time
Senior Data Informatics Analyst,ICE Mortgage Technology,4 - 8 years,Not Disclosed,Pune,IT Services & Consulting,"Full Time, Permanent",Data ScienceExcelData AnalysisTableauTroubleshootingSql
ExtraMarks Education is hiring For Data Analyst,Extramarks  Education India Pvt Ltd,3 - 6 years,"₹ 5,00,000 - 12,00,000 P.A. ",Noida,Education / Training,"Full Time, Permanent",Data ScienceCommunication SkillsPower BiTechnical CommunicationProblem SolvingData AnalysisETLStatisticsSQLPython
Lead Data Analyst,MediaMath,8 - 13 years,Not Disclosed,Bangalore/Bengaluru,Internet,"Full Time, Permanent",Predictive ModelingData ScienceDigital MediaData AnalysisStatistical ModelingData AnalystAnalyticsPythonSqlProfessional Services
"Data Analyst , Product",MediaMath,4 - 9 years,Not Disclosed,Bangalore/Bengaluru,Internet,"Full Time, Permanent",Data SciencePredictive ModelingDigital MediaData AnalysisStatistical ModelingData AnalystAnalyticsPythonSqlProfessional Services
MIS Executive / Data Analyst / Business Analytics Jobs- MNC,GABA Consultancy services ,0 - 5 years,"₹ 2,25,000 - 4,50,000 P.A. ","New Delhi, Gurgaon/Gurugram, Greater Noida",Analytics / KPO / Research,"Full Time, Permanent",Sales AnalysisLogistic RegressionBusiness AnalyticsBankingBig DataReportingStatisticsData SciencefresherSalesPredictiveData AnalysisData VisualizationData AnalyticsPredictive AnalyticsCluster Analysis
Data Analyst / Business Analytics / MIS Executive - Fresher Jobs- MNC,GABA Consultancy services ,0 - 5 years,"₹ 2,25,000 - 4,50,000 P.A. ","Noida, New Delhi, Faridabad",Analytics / KPO / Research,"Full Time, Permanent",Sales AnalysisLogistic RegressionBusiness AnalyticsBankingBig DataReportingStatisticsData SciencefresherSalesPredictiveData AnalysisData VisualizationData AnalyticsPredictive AnalyticsCluster Analysis
Data Quality Analyst,Euromonitor International,2 - 5 years,Not Disclosed,Bangalore/Bengaluru,Analytics / KPO / Research,"Full Time, Permanent",Data ScienceCommunication SkillsData QualityExcelQuality ImprovementTraining And DevelopmentBig DataHealthcareResearchQuality Standards
Hiring For Data Analyst For Gurgaon Location,Shadow Placements  ,3 - 7 years,"₹ 5,00,000 - 10,00,000 P.A. ","Gurgaon/Gurugram, Delhi / NCR",Analytics / KPO / Research,"Full Time, Permanent",Data ScienceText AnalyticsData AnalysisStatistical ModelingData MiningData ExtractionData ServicesData AnalyticsMachine LearningPython
Business Analytics / Data Analyst / Process Analyst / Only  MNC Jobs,GABA Consultancy services ,0 - 5 years,"₹ 2,25,000 - 4,50,000 P.A. ","Noida, Ghaziabad, Delhi / NCR",Analytics / KPO / Research,"Full Time, Permanent",Sales AnalysisLogistic RegressionBusiness AnalyticsBankingBig DataReportingStatisticsData SciencefresherSalesPredictiveData AnalysisData VisualizationData AnalyticsPredictive AnalyticsCluster Analysis
Business Analytics / Data Analyst / Process Analyst / Fresher - MNC,GABA Consultancy services ,0 - 5 years,"₹ 2,25,000 - 4,50,000 P.A. ","Noida, New Delhi, Gurgaon/Gurugram",Analytics / KPO / Research,"Full Time, Permanent",Sales AnalysisLogistic RegressionBusiness AnalyticsBankingBig DataReportingStatisticsData SciencefresherSalesPredictiveData AnalysisData VisualizationData AnalyticsPredictive AnalyticsCluster Analysis
Data Analyst- AI / ML,MOTHERSONSUMI INFOTECH & DESIGNS LIMITED,2 - 5 years,Not Disclosed,Delhi / NCR,IT Services & Consulting,"Full Time, Permanent",Artificial IntelligenceMachine Learning
BI Senior Analyst,NielsenIQ,9 - 10 years,Not Disclosed,Chennai,BPO / Call Centre,"Full Time, Permanent",Data ScienceBusiness IntelligencePower BiData ManagementData AnalysisData WarehouseData AnalystData ModelingData AnalyticsProduction Support
Data Scientist- Senior Business Analyst/Lead Analyst,Evalueserve.com Pvt. Ltd,2 - 7 years,Not Disclosed,"Gurgaon/Gurugram, Bangalore/Bengaluru",Analytics / KPO / Research,"Full Time, Permanent",Predictive ModelingData ScienceRMarketing Mix ModelingData MiningMarketing AnalyticsMachine LearningPythonSales Analytics
Business Intelligence Analyst with Data Science-Bangalore Location-C2H,RANDSTAD INDIA PVT LTD,5 - 10 years,Not Disclosed,Bangalore/Bengaluru,Software Product,"Full Time, Permanent",Business IntelligenceDW/BIHadoopBig DataSQLData SciencePrestoHiveRData VisualizationSparkTSQLPython
Data Analyst,Multi Recruit   ,2 - 5 years,"₹ 10,00,000 - 15,00,000 P.A. ",Bangalore/Bengaluru,Financial Services,"Full Time, Permanent",Data scientistData scienceData AnalystMachine Learning
Data Analyst,Multi Recruit   ,2 - 5 years,"₹ 10,00,000 - 15,00,000 P.A. ",Bangalore/Bengaluru,Financial Services,"Full Time, Permanent",Data ScienceData scientistData AnalystMachine Learning
Data Analyst - Machine/Deep Learning Algorithms,Huquo Consulting Pvt. Ltd,2 - 7 years,Not Disclosed,"Gurgaon/Gurugram, Delhi / NCR",IT Services & Consulting,"Full Time, Permanent",data science Random Forests SVManalytics Data AnalystKNNMachine LearningAlgorithmDeep LearningPythonSQL
Data Analyst,Collabera Services Private Limited   ,5 - 7 years,Not Disclosed,Bangalore/Bengaluru,IT Services & Consulting,"Full Time, Permanent",Azure Data FactoryData AnalysisSQL Server
Data Scientist/Analyst II,Uber,1 - 5 years,Not Disclosed,Bangalore/Bengaluru,Internet,"Full Time, Permanent",Computer scienceProduct engineeringdata sciencemanagementHypothesis TestingAnalyst IIAnalyticsSQLPythonQuantitative analysis
Data Scientist I,Novartis Healthcare Pvt. Ltd.,7 - 12 years,Not Disclosed,Hyderabad/Secunderabad,Pharmaceutical & Life Sciences,"Full Time, Permanent",Data ScienceRNlpData ScientistData AnalysisTime SeriesText MiningMachine LearningDeep LearningPython
Data Analyst,KARALI CONSULTING SERVICES ,3 - 6 years,"₹ 3,50,000 - 8,50,000 P.A. ",Hyderabad/Secunderabad,Software Product,"Full Time, Permanent",Data ScienceRData AnalystMachine LearningPythonSQL
Lead Data Scientist / Data Engineer,Deeshaa Limited ,10 - 20 years,"₹ 20,00,000 - 35,00,000 P.A. ",Home Based,IT Services & Consulting,"Full Time, Permanent",Data Quality
Senior Data Science Engineer,Sabre Holdings,6 - 11 years,Not Disclosed,Bangalore/Bengaluru,Travel & Tourism,"Full Time, Permanent",Data ScienceAlgorithmsNeural NetworksBig DataData AnalysisData MiningData AnalyticsMachine LearningStatistical AnalysisPython
PS Manager - Site Data Scientist,P&G,5 - 10 years,Not Disclosed,Bhopal,Consumer Electronics & Appliances,"Full Time, Permanent",Data ScienceRData ScientistC + +Data ManagementBig DataData AnalysisData VisualizationConsumer GoodsPython
Senior Manager - Data Scientist,Aegon Life Insurance,4 - 8 years,Not Disclosed,Mumbai,Insurance,"Full Time, Permanent",Data SciencePredictive ModelingRSegmentationAdvanced AnalyticsWeb AnalyticsStatistical Data AnalysisData AnalyticsPythonSQLML
Product Analyst,Zilingo.com,0 - 4 years,Not Disclosed,Bangalore/Bengaluru,Film / Music / Entertainment,"Full Time, Permanent",Data ScienceJavaRProduct DesignBig DataData AnalysisSparkData AnalyticsSql QueriesPython
"Data Engineer, AP Visa Consulting and Analytics",Visa Inc.,8 - 10 years,Not Disclosed,Bangalore/Bengaluru,IT Services & Consulting,"Full Time, Permanent",Data ScienceBusiness StrategyProject ManagementScalaHadoopData AnalysisSparkData WarehousingMachine LearningPython
Data Scientist,Shell India Markets Private Limited,4 - 9 years,Not Disclosed,Chennai,Petrochemical / Plastics / Rubber,"Full Time, Permanent",Data ScienceMultivariate AnalysisRExploratory Data AnalysisFactor AnalysisDecision TreesSentiment AnalysisMachine LearningStatistics
Power BI Developer - Data Engineer,InnOvator Web Solutions Pvt.Ltd.,5 - 10 years,Not Disclosed,Maldah/Malda,IT Services & Consulting,"Full Time, Permanent",Data ScienceBusiness IntelligencePower BiData AnalysisTableauSparkData WarehousingData AnalyticsPythonSql
Senior Data Analyst,jupiter,2 - 6 years,Not Disclosed,Bengaluru,Courier / Logistics,"Full Time, Permanent",Statistical programmingdata scienceRisk analyticsAnalyticalSchemaCMSHTMLData warehousingCRMSQL
"Data visualization Analyst (Data Scientist) - TRAI, New Delhi",NISG (National Institute for Smart Government),6 - 11 years,Not Disclosed,New Delhi,IT Services & Consulting,"Full Time, Temporary/Contractual",Data ValidationData ScienceArtificial IntelligenceReport PreparationData AnalysisBig DataData VisualizationData CleaningMachine LearningAnalytics
Data Scientist,Contrado Imaging Ltd,1 - 7 years,Not Disclosed,Ahmedabad,Consumer Electronics & Appliances,"Full Time, Permanent",Data ScienceBusiness IntelligenceData ScientistHadoopData AnalysisData MiningSparkData AnalyticsMachine LearningPython
Lead Data Scientist,Multi Recruit,15 - 17 years,Not Disclosed,Bangalore/Bengaluru,Recruitment / Staffing,"Full Time, Permanent",Data SciencePredictive ModelingRNlpBig DataData AnalysisData AnalyticsComputer VisionMachine LearningPython
Business Analyst,Technovert,5 - 9 years,Not Disclosed,Hyderabad/Secunderabad,IT Services & Consulting,"Full Time, Permanent",Data ScienceAgile MethodologyBusiness AnalystRequirement GatheringData AnalysisIt ServicesData AnalyticsMachine LearningBusiness AnalysisSql
Data Scientist,Walmart Labs,4 - 8 years,Not Disclosed,Bangalore/Bengaluru,IT Services & Consulting,"Full Time, Permanent",Computer scienceData analysisdata sciencebig data analyticsMachine learningSCALAE-commercebig dataSQLPython
Senior Data Engineer,Avtex,3 - 7 years,Not Disclosed,Remote,BPO / Call Centre,"Full Time, Permanent",Data ScienceCommunication SkillsPower BiHadoopBig DataData AnalysisCareer DevelopmentDentalPythonSql
