Title,Company,experience,Estimated_salary,location,Industry_type,job_type,key_skills
Data Scientist,iSOCRATES,3 - 7 years,Not Disclosed,Mysore,Miscellaneous,"Full Time, Permanent",AutomationManaged servicesdata scienceNeural networksAnalyticalConsultingMachine learningBusiness intelligenceMATLABPython
Data Scientist,6Sense,2 - 5 years,Not Disclosed,Pune,IT Services & Consulting,"Full Time, Permanent",data scienceMachine learningenterprise businessEquityIPOPredictive modelingbig dataInside salesciscoSalesforce
Data Scientist,6Sense,2 - 5 years,Not Disclosed,Bengaluru,IT Services & Consulting,"Full Time, Permanent",data scienceMachine learningenterprise businessEquityIPOPredictive modelingbig dataInside salesciscoSalesforce
Lead Data Scientist,Perigord Data Solutions India Pvt Ltd- A Tech Mahindra Company,7 - 12 years,Not Disclosed,Hyderabad/Secunderabad,IT Services & Consulting,"Full Time, Permanent",Data Science
Senior Data Scientist (Marketplace),Walmart Labs,4 - 8 years,Not Disclosed,Bangalore/Bengaluru,IT Services & Consulting,"Full Time, Permanent",Computer sciencedata scienceCodingMachine learningSCALAE-commerceStakeholder managementAnalyticsSQLPython
Hiring For Manager and Sr. Manager | Data Scientist,Vision Beyond Resources India Private Limited,8 - 13 years,"₹ 20,00,000 - 35,00,000 P.A. ","Noida, Mumbai, New Delhi, Gurgaon/Gurugram, Bangalore/Bengaluru",Recruitment / Staffing,"Full Time, Permanent",Data ScienceNatural Language ProcessingMachine LearningPython
Data Scientist,CTD Techs,2 - 6 years,Not Disclosed,"Chennai, Bangalore/Bengaluru",IT Services & Consulting,"Full Time, Permanent",Process automationdata scienceArtificial IntelligenceConsultingMachine learninglinear regressionmicrosoftFacility managementRoboticsPython
Data Analyst/Scientist,itForte Staffing Services Private Ltd.,3 - 7 years,Not Disclosed,Gurgaon,Recruitment / Staffing,"Full Time, Permanent",MS SQLAlgorithmsConsultingMachine learningData collectionToolsData AnalystTechnology solutionsData miningSQL
Data Scientist,"Center for Study of Science, Technology and Policy",2 - 4 years,Not Disclosed,Bangalore/Bengaluru,Analytics / KPO / Research,"Full Time, Permanent",Supply chainComputer visionadvanced analyticsdata scienceGCPMachine learningHealthcareSQLPythonLogistics
Data Scientist - Healthcare,Clovity,8 - 13 years,Not Disclosed,Remote,IT Services & Consulting,"Full Time, Permanent",Telecomdata scienceEnterprise applicationsConsultingMachine learningHealthcareData miningOpen sourcemicrosofttext analytics
Data Scientist,Frontdoor,4 - 9 years,Not Disclosed,Pune,Consumer Electronics & Appliances,"Full Time, Permanent",Computer scienceComputer visionAppliancesdata scienceData modelingMachine learningData qualitydata visualizationDistribution systemSoftware services
Senior Data Scientist,Wolters Kluwer India Pvt Ltd,4 - 8 years,Not Disclosed,Pune,Miscellaneous,"Full Time, Permanent",Data ScienceText AnalyticsPython
Data Analyst - EdTech,Yo HR Consultancy,1 - 4 years,Not Disclosed,Gurgaon/Gurugram,E-Learning / EdTech,"Full Time, Permanent",RExcelTableauData AnalyticsAnalyticsSQL
Senior Data Scientist - Chatbot & NLP,Gojek Tech,3 - 7 years,Not Disclosed,Bangalore/Bengaluru,Internet,"Full Time, Permanent",UnixComputer sciencedata scienceAnalyticalMachine learningqueryFlexDistribution systemStatisticsPython
Senior Data Scientist,lgoAnalytics,3 - 4 years,Not Disclosed,Pune,Analytics / KPO / Research,"Full Time, Permanent",data scienceBfsiSeniorMachine learningWritingServiceTimeStatisticslifeIdeas
Employee Health & Benefits - Data Analyst,XL Recruiters,2 - 5 years,Not Disclosed,Delhi / NCR,Insurance,"Full Time, Permanent",VBAData AnalysisData AnalystData Analytics
Data Ops Engineer,ORANGEPEOPLE PRIVATE LIMITED,5 - 10 years,"₹ 10,00,000 - 20,00,000 P.A. ",Hyderabad/Secunderabad,IT Services & Consulting,"Full Time, Temporary/Contractual",JavaProject ManagementData ManagementBig DataData AnalysisData OperationsJapaneseAWSDevopsPython
Senior Data Scientist - Chatbot & NLP,GO-JEK India,5 - 10 years,Not Disclosed,Bangalore/Bengaluru,IT Services & Consulting,"Full Time, Permanent",UnixComputer sciencedata scienceAnalyticalMachine learningqueryFlexDistribution systemStatisticsPython
Data Science Engineer,Agreeya,3 - 6 years,Not Disclosed,Gurgaon,IT Services & Consulting,"Full Time, Permanent",NoSQLImage processingsparkData modelingCodingWeb developmentMachine learningSQLPythonAuditing
Data Analyst,HR CENTRAL,2 - 4 years,Not Disclosed,Bangalore/Bengaluru,IT Services & Consulting,"Full Time, Permanent",Big Data AnalyticsSQL ServerTeradata
Data Scientist 3,ANI Technologies Pvt Ltd (Olacabs),6 - 10 years,Not Disclosed,Bangalore/Bengaluru,Internet,"Full Time, Permanent",Operations researchdata scienceMachine learningData miningEconometricsStakeholder managementIndividual ContributorStatisticsFinancial servicesPython
Data Scientist 2,ANI Technologies Pvt Ltd (Olacabs),5 - 9 years,Not Disclosed,"Mumbai, Pune",Internet,"Full Time, Permanent",Operations researchdata scienceFleet managementMachine learningEconometricsStakeholder managementIndividual ContributorStatisticsFinancial servicesPython
Principal Data Scientist,Narayana Heath,6 - 9 years,Not Disclosed,Bangalore/Bengaluru,Analytics / KPO / Research,"Full Time, Permanent",Data ScienceArtificial IntelligenceData ScientistAdvanced Analytics
