Text,rating,price,ROM,Display,camera,chip
"APPLE iPhone 13 (Pink, 128 GB)",,"₹79,900",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor
"Apple iPhone SE (White, 64 GB) (Includes EarPods, Power Adapter)",4.5,"₹25,999",64 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,A13 Bionic Chip with 3rd Gen Neural Engine Processor
"Apple iPhone XR (Black, 64 GB) (Includes EarPods, Power Adapter)",4.6,"₹42,999",64 GB ROM,15.5 cm (6.102 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor
"APPLE iPhone 13 (Starlight, 128 GB)",,"₹79,900",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor
"Apple iPhone XR (White, 64 GB) (Includes EarPods, Power Adapter)",4.6,"₹42,999",64 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor
"APPLE iPhone 13 Pro Max (Graphite, 128 GB)",,"₹1,29,900",128 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor
"Apple iPhone SE (Red, 256 GB) (Includes EarPods, Power Adapter)",4.5,"₹40,999",256 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,A13 Bionic Chip with 3rd Gen Neural Engine Processor
"APPLE iPhone 11 (Black, 128 GB)",4.6,"₹54,900",128 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor
"APPLE iPhone 13 Pro (Gold, 256 GB)",,"₹1,29,900",256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor
"Apple iPhone SE (Red, 64 GB) (Includes EarPods, Power Adapter)",4.5,"₹25,999",64 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,A13 Bionic Chip with 3rd Gen Neural Engine Processor
"APPLE iPhone 13 Mini (Starlight, 128 GB)",,"₹69,900",128 GB ROM,13.72 cm (5.4 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor
"Apple iPhone XR (Blue, 128 GB) (Includes EarPods, Power Adapter)",4.6,"₹47,999",128 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor
"APPLE iPhone 13 Pro Max (Gold, 128 GB)",,"₹1,29,900",128 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor
"APPLE iPhone 11 (White, 128 GB)",4.6,"₹54,900",128 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor
"APPLE iPhone 11 (White, 256 GB)",4.6,"₹64,900",256 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor
"APPLE iPhone 13 Pro (Sierra Blue, 512 GB)",,"₹1,49,900",512 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor
"Apple iPhone SE (White, 256 GB) (Includes EarPods, Power Adapter)",4.5,"₹40,999",256 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,A13 Bionic Chip with 3rd Gen Neural Engine Processor
"APPLE iPhone 13 Pro (Silver, 256 GB)",,"₹1,29,900",256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor
"Apple iPhone SE (White, 128 GB) (Includes EarPods, Power Adapter)",4.5,"₹30,999",128 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,A13 Bionic Chip with 3rd Gen Neural Engine Processor
"APPLE iPhone 13 Pro Max (Graphite, 512 GB)",,"₹1,59,900",512 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor
"APPLE iPhone 11 (Yellow, 256 GB)",4.6,"₹64,900",256 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor
"APPLE iPhone 13 Pro (Silver, 128 GB)",,"₹1,19,900",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor
"APPLE iPhone 12 (Purple, 64 GB)",4.6,"₹63,999",64 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor
"Apple iPhone XR (Coral, 64 GB) (Includes EarPods, Power Adapter)",4.6,"₹42,999",64 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor
"APPLE iPhone 12 (Purple, 128 GB)",4.6,"₹68,999",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor
"Apple iPhone SE (Black, 256 GB) (Includes EarPods, Power Adapter)",4.5,"₹40,999",256 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,A13 Bionic Chip with 3rd Gen Neural Engine Processor
"APPLE iPhone XR (Yellow, 64 GB)",4.6,"₹42,999",64 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor
