Text,rating,price,ROM,Display,camera,chip
"APPLE iPhone XS (Silver, 256 GB)",4.7,"₹76,999",256 GB ROM,14.73 cm (5.8 inch) Super Retina HD Display,12MP + 12MP | 7MP Front Camera,A12 Bionic Chip Processor
"APPLE iPhone 8 Plus (PRODUCT)RED (Red, 64 GB)",4.6,"₹49,900",64 GB ROM,13.97 cm (5.5 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,"A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor"
"APPLE iPhone 13 Pro (Gold, 512 GB)",,"₹1,49,900",,,,
"APPLE iPhone 11 (Red, 64 GB)",4.6,"₹49,900",64 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor
"APPLE iPhone 13 Pro (Sierra Blue, 1 TB)",,"₹1,69,900",,,,
"APPLE iPhone 13 Pro (Graphite, 512 GB)",,"₹1,49,900",,,,
"APPLE iPhone 6s (Gold, 64 GB)",4.5,"₹49,999",64 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,A9 Chip with 64-bit Architecture and M9 Motion Co-processor
"APPLE iPhone 11 Pro (Midnight Green, 256 GB)",4.6,"₹1,21,300",256 GB ROM,14.73 cm (5.8 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor
"APPLE iPhone 6s (Gold, 16 GB)",4.5,"₹41,999",,,,
"APPLE iPhone 6s (Rose Gold, 16 GB)",4.5,"₹31,999",,,,
"APPLE iPhone 11 Pro Max (Space Grey, 512 GB)",4.7,"₹1,50,800",512 GB ROM,16.51 cm (6.5 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor
"APPLE iPhone 7 Plus (Silver, 256 GB)",4.5,"₹85,400",256 GB ROM,13.97 cm (5.5 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor
"APPLE iPhone 13 Pro (Gold, 1 TB)",,"₹1,69,900",,,,
"APPLE iPhone 6s Plus (Silver, 16 GB)",4.4,"₹49,999",,,,
"APPLE iPhone 6s (Gold, 128 GB)",4.5,"₹55,999",,,,
"APPLE iPhone 6 (Gold, 16 GB)",4.4,"₹36,499",16 GB ROM,11.94 cm (4.7 inch) Retina HD Display,8MP Rear Camera | 1.2MP Front Camera,A8 Chip with 64-bit Architecture and M8 Motion Co-processor
"APPLE iPhone 13 Pro Max (Sierra Blue, 512 GB)",,"₹1,59,900",,,,
"APPLE iPhone 6s Plus (Rose Gold, 16 GB)",4.4,"₹49,999",16 GB ROM,13.97 cm (5.5 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,A9 Chip with 64-bit Architecture and M9 Motion Co-processor
"APPLE iPhone 6 (Grey, 128 GB)",4.4,"₹71,500",,,,
"APPLE iPhone 6s Plus (Gold, 64 GB)",4.4,"₹59,999",64 GB ROM,13.97 cm (5.5 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,A9 Chip with 64-bit Architecture and M9 Motion Co-processor
"APPLE iPhone 13 Mini ((PRODUCT)RED, 512 GB)",,"₹99,900",,,,
"APPLE iPhone XS Max (Gold, 512 GB)",4.6,"₹1,44,900",512 GB ROM,16.51 cm (6.5 inch) Super Retina HD Display,12MP + 12MP | 7MP Front Camera,A12 Bionic Chip Processor
"APPLE iPhone 13 Pro Max (Silver, 512 GB)",,"₹1,59,900",,,,
"APPLE iPhone 6 (Space Grey, 32 GB)",4.4,"₹30,780",,,,
"APPLE iPhone 7 Plus (Rose Gold, 256 GB)",4.5,"₹85,400",256 GB ROM,13.97 cm (5.5 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor
"APPLE iPhone X (Silver, 64 GB)",4.6,"₹91,900",64 GB ROM,14.73 cm (5.8 inch) Super Retina HD Display,12MP + 12MP | 7MP Front Camera,"A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor"
