Title,Rating,Price,Series,color,power_backup,processor_brand,processor,ssd,ram,ram_type,hardsk_capacity,touch_screen,screen_size
"HP Pavilion Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 10 Home) 14-ec0035AU Thin and Light Laptop  (14 inch, Natural Silver, 1.41 Kg, With MS Office)",4.7,"₹58,990",Pavilion,Natural Silver,3 Cell,AMD,Ryzen 5 Hexa Core,512 GB,8 GB,DDR4,5500U,No,35.56 cm (14 inch)
"APPLE MacBook Pro with Touch Bar Core i5 10th Gen - (16 GB/512 GB SSD/Mac OS Catalina) MWP72HN/A  (13 inch, Silver, 1.4 kg)",4.5,"₹1,59,990",MacBook Pro with Touch Bar,Silver,Upto 10 hours,Intel,Core i5,Yes,512 GB,16 GB,LPDDR4X,No,33.02 cm (13 inch)
"ASUS Chromebook Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chrome OS) C423NA-BV0523 Thin and Light Laptop  (14 inch, Silver, 1.20 Kg)",4.1,"₹20,990",Chromebook,Silver,45W AC Adapter,Intel,Celeron Dual Core,4 GB,LPDDR4,64 GB,N3350,No,35.56 cm (14 inch)
"Nokia PureBook S14 Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) NKi511TL165S Thin and Light Laptop  (14.1 inch, Black, 1.4 KG)",,"₹58,990",PureBook S14,Black,Up to 6 hours,Intel,Core i5,Yes,512 GB,16 GB,DDR4,No,35.81 cm (14.1 inch)
"ASUS Chromebook Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chrome OS) C523NA-BR0300| C523NA-BR0476 Thin and Light Laptop  (15.6 inch, Silver, 1.43 Kg)",4,"₹21,499",Chromebook,Silver,45W AC Adapter,Intel,Celeron Dual Core,4 GB,LPDDR4,64 GB,N3350,No,39.62 cm (15.6 inch)
"ASUS Chromebook Flip Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chrome OS) C214MA-BU0452 2 in 1 Laptop  (11.6 inch, Dark Grey, 1.20 Kg)",4.1,"₹21,990",Chromebook Flip,Dark Grey,45W AC Adapter,Intel,Celeron Dual Core,4 GB,LPDDR4,64 GB,N4020,Yes,29.46 cm (11.6 inch)
"Lenovo IdeaPad 3 Celeron Dual Core 4th Gen - (4 GB/256 GB SSD/Windows 10 Home) 14IGL05 Thin and Light Laptop  (14 inch, Platinum Grey, 1.5 kg, With MS Office)",,"₹29,990",14IGL05,IdeaPad 3,Processing & Multitasking,Intel,Celeron Dual Core,Yes,256 GB,4 GB,DDR4,No,35.56 cm (14 inch)
"Lenovo Yoga Slim 7 Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) 14ITL05 Thin and Light Laptop  (14 inch, Slate Grey, 1.36 kg, With MS Office)",,"₹84,990",Yoga Slim 7,Slate Grey,Upto 14 hours,Intel,Core i5,Yes,512 GB,16 GB,DDR4,Yes,35.56 cm (14 inch)
"ASUS Chromebook Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chrome OS) C423NA-EC0521 Thin and Light Laptop  (14 inch, Silver, 1.34 Kg)",,"₹24,490",Chromebook,Silver,45W AC Adapter,Intel,Celeron Dual Core,4 GB,LPDDR4,64 GB,N3350,Yes,35.56 cm (14 inch)
"Lenovo ThinkPad E15 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) E15 Thin and Light Laptop  (15.6 Inch, Black, 1.7 kg, With MS Office)",4.6,"₹73,990",ThinkPad E15,ThinkPad E15,Processing & Multitasking,Intel,Core i5,Yes,512 GB,8 GB,DDR4,No,39.62 cm (15.6 Inch)
